Country,2014,2015,2016,2017,2018
Benin,54000000,62000000,64000000,50000000,
Cote d'Ivoire,402000000,357000000,372000000,386000000,
Gabon,278000000,397000000,232000000,,
Mali,144000000,150000000,157000000,160000000,
"Congo, Rep.",257000000,324000000,251000000,,
Kenya,206000000,217000000,145000000,262000000,
Niger,85000000,70000000,74000000,80000000,
Senegal,148000000,133000000,146000000,154000000,
Togo,41000000,37000000,38000000,39000000,
Palau,9400000,12800000,14300000,13700000,
Burkina Faso,132000000,103000000,115000000,116000000,
Tuvalu,,,,,
Central African Republic,,,,,
Kiribati,13200000,12400000,15200000,13900000,
"Micronesia, Fed. Sts.",12000000,,,,
Zimbabwe,342000000,476000000,327000000,315000000,
